name,address,price_range,start_price,end_price,category,sub_category,bookmark,positive,negative
Sushi Dokoro Matsudo (The Toy House) 鮨處松戶 (彩星集團大廈),"8/F The Toy House, 100 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,13300,,
Hakkaisan Japanese Restaurant 八海山,"Shop 1-4, G/F, Prat Mansions, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Group Dining,7600,,
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
The Captain's House,"18/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,64800,1359,52
Outdark (厚福街),"17/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Korean,Korean Fried Chicken,59800,882,22
Towada Sushi 十和田總本店,"G/F, Chinachem Cameron Centre, 42 Cameron Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,45000,1196,39
The Grill Room (The Humphreys),"2/F, The Humphreys, 6-6A Humphrey's Avenue, Tsim Sha Tsui",$201-400,201,400,Western,Steak House,72800,1175,43
OPPA Coffee Bar Restaurant,"G/F, 1F Kimberley Street, Tsim Sha Tsui",$101-200,101,200,Korean,,45200,1338,123
Hanook Korean Restaurant 韓屋,"G/F, Beauty Mansion, 69-71A Kimberly Road, Tsim Sha Tsui",$101-200,101,200,Korean,,38600,776,50
Gram cafe & pancakes,"Shop L408, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Dessert,21100,1023,148
Amitie Kitchen,"9/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$201-400,201,400,Italian,Steak House,35200,972,13
OMG Mamaday Mamaday,"2/F, Southgate Commercial Centre, 29 Granville Road, Tsim Sha Tsui",$101-200,101,200,International,Pizza,52100,865,19
LAB EAT Restaurant & Bar (金巴利道),"Shop 1-2, G/F, Kiu Fung Mansion, 83-89 Kimberley Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,101800,1012,46
CURATOR Art & Café,"Shop B113C, B1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$101-200,101,200,Western,Cake,35400,762,16
Tea Brush 茶墨,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",Below $50,50,50,Japanese,Tea House,9200,790,25
Espresso Alchemy,"Shop B116, B1, Miramar Shopping Centre, 132 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Western,Sandwich,17300,953,18
Chicken HOF & SOJU (Hillwood Road) 李家 (山林道),"Shop 2, G/F, The Leader Commercial Building, 54-56 Hillwood Road, Tsim Sha Tsui",$201-400,201,400,Korean,Korean Fried Chicken,25100,520,7
Flame Japanese Cuisine 焱丸水產,"Shop 5&6, G/F, Wah Fung Building, 23 Minden Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Seafood,58600,1115,26
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,,
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
Burgeroom (美麗華廣場一期),"Shop 207, L2, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",$101-200,101,200,American,Hamburger,48200,1164,27
JUST'er Bar & Restaurant,"Shop A1-A2, G/F, 13 Hillwood Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Seafood,24000,1039,26
AHAN THAI 阿閒泰,"Shop 219, 2/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,Thai,Noodles/Rice Noodles,20500,628,27
Nan Ei Sui San 南瀛水產,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Seafood,40400,806,30
The Cheesecake Factory 芝樂坊餐廳,"Shop G102, G/F, Gateway Arcade, Harbour City, 25 Canton Road, Tsim Sha Tsui",$101-200,101,200,International,Hamburger,68300,805,71
Lady Nara,"Shop 3303, 3/F, Gateway Arcade, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,Western,,21500,535,14
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,761,36
Kikanbo 鬼金棒,"G/F, 20 Cameron Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Ramen,15000,572,6
Master Beef (Carnarvon Plaza) 牛大人台灣火鍋吃到飽 (加拿芬廣場),"2/F, Carnarvon Plaza, 20 Carnarvon Road, Tsim Sha Tsui",$101-200,101,200,Taiwan,Hot Pot,61600,438,12
Sun Thai Restaurant 新泰東南亞餐廳,"Shop 1A, G/F & B/F, BCC Building, 25-31 Carnarvon Road, Tsim Sha Tsui",$101-200,101,200,Thai,Curry,23100,705,14
Yakiniku More 牛魔,"Shop 5-6, G/F, 8 Minden Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,BBQ,35700,760,19
G One Sushi Japanese Restaurant (Hau Fook Street) 鮨一 (厚福街),"18/F-20/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",$401-800,401,800,Japanese,Sushi/Sashimi,55200,801,32
Fukuoka Hambageu 福岡漢堡扒,"Shop A, G/F, 11 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Korean,Korean BBQ,15800,497,10
Odelice! (The ONE),"Shop L407, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$201-400,201,400,French,Western,52200,732,40
8Five2 Restobar,"Shop 2, G/F, 8 Observatory Road, Tsim Sha Tsui",$101-200,101,200,Mexican,,30100,555,17
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
Sushi Dokoro Matsudo (The Toy House) 鮨處松戶 (彩星集團大廈),"8/F The Toy House, 100 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,13300,,
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
Wulu Restaurant 醉胡爐,"G/F, Perfect Commercial Building, 20 Austin Avenue, Tsim Sha Tsui",$201-400,201,400,Hong Kong Style,Hot Pot,31400,871,13
hoo 포차 hoo韓國包車,"22/F, The Lamma Tower, 12-12A Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Korean,Wine,23800,424,18
Cambo ขุนทอง (The ONE),"Shop L403, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Thai,,57200,868,88
Espresso Alchemy,"Shop 104, G/F, Harbour City, Gateway Arcade, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,Western,All Day Breakfast,9600,552,0
CHEF STAGE de Eddy Chu,"19/F, 17-19 Ashley Road, Tsim Sha Tsui",$201-400,201,400,Western,Wine,63900,1084,39
KUROMON AQUATIC JAPANESE RESTAURANT 黑門水產すいさん,"Shop 3 & 4, G/F, 8 Minden Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Seafood,37000,739,34
Café Crêpe (K11),"Shop G29, G/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,International,Pizza,9600,412,8
Nara Thai Cuisine (港威商場),"Shop 3303, 3/F, Gateway Arcade, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,Thai,,10500,424,10
Mokumoku Yakiton (厚福街),"16/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",$201-400,201,400,Japanese,Skewer,26400,524,14
Hainan Shaoye 海南少爺,"Shop 16, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,Singaporean,Group Dining,11800,566,38
Chili Party (Soravit on Granville Hotel) 麻辣派對 (瑞生酒店),"1/F, Soravit on Granville Hotel, 29A Granville Road, Tsim Sha Tsui",$101-200,101,200,Sichuan,Stir-Fry,35600,531,30
Tasty Hotpot Palace 香香宮煮,"1/F, Golden Glory Mansion, 16 Carnarvon Road, Tsim Sha Tsui",$201-400,201,400,Hong Kong Style,Hot Pot,23900,451,6
Yakiniku Shin 燒肉臻,"Shop 102, 1/F, Multifield Plaza, 3-7A Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,BBQ,20200,416,4
Oasis Bar & Grill,"8/F, 1 Knutsford Terrace, Tsim Sha Tsui, Tsim Sha Tsui",$201-400,201,400,Western,Steak House,34200,949,14
Grandmama Cafe 婆婆珈琲屋,"1/F, The Nate, 176 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Dessert,35900,272,17
Royal INN,"Shop L121, 1/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$201-400,201,400,International,Seafood,14200,,
Hakkaisan Japanese Restaurant 八海山,"Shop 1-4, G/F, Prat Mansions, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Group Dining,7600,,
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
Goobne Chicken (The Hart),"2/F, The HART, 4 Hart Avenue, Tsim Sha Tsui",$101-200,101,200,Korean,Korean Fried Chicken,57700,787,24
Little Fish (Kam Ma Building) 小魚兒 (金馬大廈),"1/F, Kam Ma Building, 16 Cameron Road, Tsim Sha Tsui",$201-400,201,400,Sichuan,Hot Pot,28100,482,9
Gekiyasu Yakiniku 驚安燒肉商店,"Shop C, 3/F, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Wine,36000,288,3
Paper Moon,"Shop OTE301, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Italian,Pizza,72000,262,62
Opa Mediterranean Bar and Bistro,"Shop 1-2, G/F, Union Mansion, 33-35 Chatham Road South, Tsim Sha Tsui",$201-400,201,400,Mediterranean,Western,12000,444,14
HAND3AG (K11購物藝術館),"Shop B226, B2/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",Below $50,50,50,International,Sandwich,12900,426,12
MUTA Restaurant by ATUM,"Shop B131, B1/F, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Yoshoku,26300,391,7
BaliTown 峇里堂,"3/F, The Nate, 176 Nathan Road, Tsim Sha Tsui",$51-100,51,100,Indonesian,Coffee Shop,19600,290,10
Siam Noodles (Lock Road) 泰濃麵 (樂道),"Shop A, G/F, Kar Lock Building, 7 Lock Road, Tsim Sha Tsui",$51-100,51,100,Thai,,17600,473,9
Almond Dessert (Champagne Building) 杏甜品 (香檳大廈),"Shop 6, G/F, Champagne Building, 40-46 Carnarvon Road, Tsim Sha Tsui",Below $50,50,50,Hong Kong Style,Dessert,10000,443,11
The Market,"2/F, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui",$401-800,401,800,International,Seafood,83000,537,62
HEXA 六公館,"Shop OTE 101, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,Guangdong,Stir-Fry,53400,450,39
Kausumisu 牛匠石燒,"G/F, Fook Kiu Mansion, 34-36A Cameron Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Ramen,13400,465,11
Le Viet,"Shop L402, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Vietnamese,Skewer,29900,705,28
Leisurely Veggie 雅 ‧悠蔬食,"Shop B, 3/F, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui",$101-200,101,200,International,Vegetarian,34400,632,17
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
Hakkaisan Japanese Restaurant 八海山,"Shop 1-4, G/F, Prat Mansions, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Group Dining,7600,,
Royal INN,"Shop L121, 1/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$201-400,201,400,International,Seafood,14200,,
TONO DAIKIYA 殿 大喜屋,"1/F, 26 Kimberley Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,83500,786,43
Sushi Sho 翔壽司,"Shop 4, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",$51-100,51,100,Japanese,Sushi/Sashimi,16700,470,6
Chatterbox Café,"Shop B110, B1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$101-200,101,200,Singaporean,Food Wise Eateries,14900,371,31
Greenland Spicy Crab 翠林辣蟹舫,"Shop A, 1/F, Astoria Building, 24-38 Ashley Road, Tsim Sha Tsui",$201-400,201,400,Guangdong,Seafood,23200,793,22
Tian Tian Hainanese Chicken Rice (ELEMENTS) 天天海南雞飯 (ELEMENTS圓方),"Shop 1050A, 1/F, Water Zone, ELEMENTS, 1 Austin Road West, Tsim Sha Tsui",$101-200,101,200,Singaporean,,9200,395,40
Potluck Eatery,"G/F, Golden Gate Commercial Building, 136-138 Austin Road, Tsim Sha Tsui",$201-400,201,400,Western,Pizza,36100,495,5
La Vache!,"G/F, 12 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,French,Steak House,61900,278,10
Akita Hamayaki 秋田浜燒食堂,"G/F, 8 Observatory Court, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,13100,581,1
Seorae 喜來稀肉,"G/F-1/F, Passkon Court, 79-81 Kimberley Road, Tsim Sha Tsui",$101-200,101,200,Korean,Roast Meat,33600,556,15
Ganso Tsukemen 元祖沾麵專門店,"Shop 5, G/F, Dorfu Court, 5-6 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Japanese,Ramen,24300,817,134
Vego Coffee 齋啡,"Shop 7B, G/F, Garden Mansion, 154-156 Austin Road, Tsim Sha Tsui",$51-100,51,100,Western,Vegetarian,20800,316,18
Morton's of Chicago,"4/F, The Sheraton Hong Kong Hotel & Towers, 20 Nathan Road, Tsim Sha Tsui",Above $801,801,801,American,Steak House,68700,300,14
Anjappar Chettinad Indian Restaurant,"Shop 202, 2/F, Multifield Plaza, 3-7A Prat Avenue, Tsim Sha Tsui",$101-200,101,200,Indian,,14200,397,4
Ajidouraku (Hanoi Road) 味道樂居酒屋 (河內道),"G/F, 2 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Izakaya,19600,650,16
KEBABEER 串酒里,"Shop B, G/F, 6 Hillwood Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Roast Meat,23300,743,21
Sushi Dokoro Matsudo (The Toy House) 鮨處松戶 (彩星集團大廈),"8/F The Toy House, 100 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,13300,,
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
The Wall Street Bar & Lounge,"1/F, MW Plaza, 40 Kimberley Road, Tsim Sha Tsui",$101-200,101,200,International,Wine,8000,315,4
Black Wood Izakaya (Cameron Road) 黑木亭居酒屋 (金馬倫道),"G/F-1//F, Kok Pah Mansion, 58-60 Cameron Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Robatayaki,19400,398,16
Sushi Tokumi 德美壽司,"5/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Japanese,Sushi/Sashimi,29200,553,20
Fifth Element Shokudo 五要素食堂,"Shop L308, 3/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Yoshoku,12300,305,14
Happy Q 喜膳燒,"G/F, 10 Prat Avenue, Tsim Sha Tsui",$101-200,101,200,Hong Kong Style,Skewer,15500,570,8
Espuma (H8),"2/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Spanish,Dessert,72800,901,98
Oyster Cove (Kimberley Road) 蠔灣 (金巴利道),"Shop A, G/F, New Landwide Commercial Building, 73 Kimberley Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,7400,261,4
Zither Garden (Prince Tower) 古琴雅苑 (太子集團中心),"15/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui",$201-400,201,400,Jiang-Zhe,Stir-Fry,39600,295,22
Bayfare Social,"5/F, Rosewood Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,29300,191,7
The Point - Pizza & Pasta (The ONE),"Shop 409, L4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Italian,Pizza,31600,583,25
Nathan Left 彌敦左岸,"G/F & 1/F, Hart Avenue Plaza, 5-9 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,33500,835,15
云手工火鍋店,"3/F, Soravit on Granville Hotel, 20 Granville Road, Tsim Sha Tsui",$201-400,201,400,Guangdong,Hot Pot,3800,341,1
Mikazuki 三日月,"Shop B, 2/F, Cameron Plaza, 23 Cameron Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Teppanyaki,12200,371,11
Gusto - Taste Italian,"Shop 3A, 5 & 6, G/F, Mirror Tower, 61 Mody Road, Tsim Sha Tsui",$101-200,101,200,Italian,Bar,10400,286,10
Terrace in Seaside (海港城),"Shop OT233, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,Korean,Korean Fried Chicken,13600,321,3
Sushi Dokoro Matsudo (The Toy House) 鮨處松戶 (彩星集團大廈),"8/F The Toy House, 100 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,13300,,
Royal INN,"Shop L121, 1/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$201-400,201,400,International,Seafood,14200,,
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
Wulu 胡爐,"16/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$201-400,201,400,Hong Kong Style,Hot Pot,17800,543,6
Camellia,"Shop 033, G/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$101-200,101,200,Western,Cake,39100,279,41
逸 壽司,"Shop A2A & A2B, G/F, Astoria Building, 24-38 Ashley Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Sushi/Sashimi,5300,264,4
TSUKADA NOJO 塚田農場,"Shop OTE 202, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Hot Pot,47400,297,53
Hiyama 日山,"Shop OTE302, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,Japanese,,35800,150,7
Japanese Wagyu Yakiniku Pure 和牛燒肉‧純,"Shop 3,1/F, Hilton Towers, 96 Granville Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Roast Meat,37600,575,6
